타깃,피처,모델,평가건수,균형정확도,신뢰하한,신뢰상한,유의미,50%초과,종목수
변동성,tech+mkt,그래디언트부스팅,1520,0.5297,0.5046,0.555,True,23,38
변동성,tech+mkt,랜덤포레스트,1520,0.5144,0.4894,0.5398,False,20,38
변동성,tech+mkt,로지스틱회귀,1520,0.5305,0.5053,0.5556,True,25,38
변동성,tech+mkt,앙상블,1520,0.5267,0.5013,0.5517,True,25,38
변동성,tech+mkt+peer,그래디언트부스팅,1520,0.5295,0.504,0.5543,True,21,38
변동성,tech+mkt+peer,랜덤포레스트,1520,0.5176,0.492,0.5424,False,23,38
변동성,tech+mkt+peer,로지스틱회귀,1520,0.5289,0.5033,0.5537,True,27,38
변동성,tech+mkt+peer,앙상블,1520,0.5336,0.5086,0.5589,True,24,38
변동성,all,그래디언트부스팅,1520,0.5308,0.5053,0.5556,True,21,38
변동성,all,랜덤포레스트,1520,0.5161,0.4907,0.5411,False,22,38
변동성,all,로지스틱회귀,1520,0.5372,0.5119,0.5622,True,25,38
변동성,all,앙상블,1520,0.5422,0.5173,0.5675,True,28,38
방향,tech+mkt,그래디언트부스팅,1520,0.482,0.4567,0.5073,False,17,38
방향,tech+mkt,랜덤포레스트,1520,0.4988,0.4734,0.524,False,16,38
방향,tech+mkt,로지스틱회귀,1520,0.5066,0.4814,0.532,False,17,38
방향,tech+mkt,앙상블,1520,0.4898,0.4647,0.5153,False,20,38
방향,tech+mkt+peer,그래디언트부스팅,1520,0.5122,0.4867,0.5373,False,21,38
방향,tech+mkt+peer,랜덤포레스트,1520,0.4987,0.4734,0.524,False,16,38
방향,tech+mkt+peer,로지스틱회귀,1520,0.5163,0.4907,0.5413,False,23,38
방향,tech+mkt+peer,앙상블,1520,0.5021,0.4767,0.5273,False,17,38
방향,all,그래디언트부스팅,1520,0.5039,0.4787,0.5293,False,22,38
방향,all,랜덤포레스트,1520,0.5041,0.4787,0.5293,False,19,38
방향,all,로지스틱회귀,1520,0.5115,0.486,0.5366,False,17,38
방향,all,앙상블,1520,0.5009,0.4754,0.526,False,17,38
