종목,시장,지수,행수,뉴스있는날,전체커버리지,평가구간커버리지
NVIDIA Corp,US,NASDAQ,1506,842,0.5591,1.0
알테오젠,KR,KOSDAQ,1873,232,0.1239,1.0
SanDisk Corporation,US,NASDAQ,379,230,0.6069,1.0
Tesla Inc,US,NASDAQ,1506,832,0.5525,0.975
DB,KR,KOSPI,1873,238,0.1271,0.975
Bank of America,US,S&P500,1506,841,0.5584,0.975
News Corp (Class B),US,S&P500,1506,225,0.1494,0.975
SK스퀘어,KR,KOSPI,1155,213,0.1844,0.95
L3Harris,US,S&P500,1506,208,0.1381,0.95
에코프로,KR,KOSDAQ,1873,227,0.1212,0.95
Fiserv,US,S&P500,1505,212,0.1409,0.925
에코프로비엠,KR,KOSDAQ,1833,214,0.1167,0.9
Solid Biosciences Inc,US,NASDAQ,1506,149,0.0989,0.9
Fox Corporation (Class B),US,S&P500,1506,222,0.1474,0.9
MaxLinear  Inc.,US,NASDAQ,1506,87,0.0578,0.875
Veeva Systems,US,S&P500,1506,150,0.0996,0.875
Micron Technology,US,S&P500,1506,835,0.5544,0.875
화신,KR,KOSPI,1873,99,0.0529,0.85
포스코인터내셔널,KR,KOSPI,1873,194,0.1036,0.85
삼성전자,KR,KOSPI,1873,233,0.1244,0.75
광주신세계,KR,KOSPI,1873,170,0.0908,0.75
SK하이닉스,KR,KOSPI,1873,226,0.1207,0.725
메타케어,KR,KOSPI,1873,107,0.0571,0.725
Trupanion  Inc.,US,NASDAQ,1506,49,0.0325,0.575
한컴위드,KR,KOSDAQ,1873,109,0.0582,0.525
Erie Indemnity,US,S&P500,1506,66,0.0438,0.525
지에프씨생명과학,KR,KOSDAQ,890,87,0.0978,0.5
Jasper Therapeutics  Inc.,US,NASDAQ,1506,38,0.0252,0.45
대림통상,KR,KOSPI,1873,65,0.0347,0.425
대성하이텍,KR,KOSDAQ,975,81,0.0831,0.4
한솔홈데코,KR,KOSPI,1873,53,0.0283,0.35
미래컴퍼니,KR,KOSDAQ,1873,96,0.0513,0.3
코미팜,KR,KOSDAQ,1873,38,0.0203,0.275
Brenx Ltd,US,NASDAQ,1060,33,0.0311,0.275
에스프리즘,KR,KOSDAQ,1873,44,0.0235,0.175
피코그램,KR,KOSDAQ,1173,23,0.0196,0.125
Shoe Station Group Inc,US,NASDAQ,1506,35,0.0232,0.125
Solowin Holdings Ltd,US,NASDAQ,739,12,0.0162,0.075
